"","Method","Accession","Species","b","c","d","e","twenty","fifty","eighty","absfif"
"1","Rt_boiling","1115-76 A","TATA",-3.33114891299571,0.131576172252354,0.399429595291855,22.7103527379981,-4.9791593559241,-12.7103527379981,-24.4318468900138,NA
"2","Rt_boiling","115-2000 A","TATA",-2.7785143640176,0.0654008042012658,0.336955884907891,29.7926664777137,-8.0894447400647,-19.7926664777137,-39.0674527939716,NA
"3","Rt_boiling","122-2003 B","DAVI",-6.75516603788959,0.0724807759973724,0.480646388946834,25.481331129742,-10.7537341984841,-15.481331129742,-21.2858510152348,NA
"4","Rt_boiling","124-2005 C","SPIC",-2.02536664862672,0.074536821986866,0.409175447230223,24.5369077515787,-2.3754236845021,-14.5369077515787,-38.6496347404617,NA
"5","Rt_boiling","126-2003 B","DAVI",-3.95830360124229,0.0541103654980597,0.439958480630232,30.4605239082594,-11.4603529347092,-20.4605239082594,-33.2352403331161,NA
"6","Rt_boiling","1400-77 E","TEGM",-4.62388618079839,0.0773414453372638,0.38757627892188,26.733529360864,-9.8084187200068,-16.733529360864,-26.0796892568886,NA
"7","Rt_boiling","172-2001 B","CAMP",-6.08009691539818,0.166007456899758,0.433436922910817,32.8973778566185,-16.1902616160211,-22.8973778566185,-31.322132848765,NA
"8","Rt_boiling","187-2006 B","SACC",-1.68871462551732,0.0387256373870182,0.442283522656279,45,-9.8012605181195,-35,-92.266216746504,NA
"9","Rt_boiling","19634 A","PSEP",-4.54239340235706,0.0653147072589035,0.373298361990439,32.7833316873111,-14.160762081035,-22.7833316873111,-34.4831513557214,NA
"10","Rt_boiling","207-2005 A","RUBR",-5.15145853208883,0.114740273032182,0.277665299460131,25.5504453244263,-9.5221084264656,-15.5504453244263,-23.4403048080339,NA
"11","Rt_boiling","22858 B","PSEP",-6.65999307455744,0.0762174558785075,0.398771673145903,28.8702991312095,-13.4450839208955,-18.8702991312095,-25.5509144150542,NA
"12","Rt_boiling","246-2010 A","SACC",-5.38089460584776,0.109732481554162,0.377320839367748,36.5898416625405,-18.2795226076401,-26.5898416625405,-37.3422600326388,NA
"13","Rt_boiling","270-2010 A","SPIC",-3.1481325209378,0.0651618648000122,0.341169536898024,33.7439961307799,-11.7246594753599,-23.7439961307799,-42.4131241810973,NA
"14","Rt_boiling","31-73 A","HYRC",-7.93871740175728,0.142686257285399,0.424897947564948,34.3666466795649,-18.8601585021327,-24.3666466795649,-30.9237670649236,NA
"15","Rt_boiling","31-73 B","HYRC",-3.21366139020361,0.142268497121988,0.481569729506658,29.7846989854998,-9.3485878587784,-19.7846989854998,-35.8497695093723,NA
"16","Rt_boiling","31-73 C","HYRC",-3.17708182800279,0.125737724051188,0.411225096528173,35.9599319749966,-13.2443776079825,-25.9599319749966,-45.631375873119,NA
"17","Rt_boiling","33-95 B","TEGM",-2.53922599777023,0.132945851733277,0.400707150907412,25.0915130037546,-4.5352700747756,-15.0915130037546,-33.3142295656522,NA
"18","Rt_boiling","379-2007 A","CAMP",-3.41865448518047,0.149293808403213,0.42947964568475,31.8720351881166,-11.2470958384772,-21.8720351881166,-37.8101400188982,NA
"19","Rt_boiling","435-84 A","CAUD",-6.97417337835636,0.0780665734601038,0.495155470480563,21.6179592420783,-7.7209752191776,-11.6179592420783,-16.3719211844734,NA
"20","Rt_boiling","435-84 B","CAUD",-9.53116467222558,0.134885375415874,0.417837236308924,23.4153088416353,-10.2456803167268,-13.4153088416353,-17.0811688998262,NA
"21","Rt_boiling","435-84 C","CAUD",-27.4727283769381,0.0792322631808748,0.418861321822957,20.6375597721272,-9.6220112641835,-10.6375597721272,-11.7056685787122,NA
"22","Rt_boiling","524-2009 A","RUBR",-33.5798496849848,0.0893293436156584,0.318493105619839,20.7169313758763,-9.879077323336,-10.7169313758763,-11.5900989091149,NA
"23","Rt_boiling","530-2008 A","SACC",-9.27644581112535,0.0785234641146422,0.223381240412083,33.3781058278676,-18.7448254605129,-23.3781058278676,-28.7582088535129,NA
"24","Rt_boiling","531-94 A","TEGM",-12.4612049427094,0.1007363784188,0.351925984657149,30.558082550364,-17.3408083469955,-20.558082550364,-24.1539429743114,NA
"25","Rt_boiling","567-2008 B","RUBR",-3.68692759540932,0.0936614126060915,0.346548464032379,31.0560538007484,-11.3231035589685,-21.0560538007484,-35.2316181370005,NA
"26","Rt_boiling","603-2008 A","SPIC",-4.34385788372045,0.0607240965679772,0.340795197146511,32.9331165807767,-13.9349505669226,-22.9331165807767,-35.314075944736,NA
"27","Rt_boiling","666-94 A","DAVI",-8.30494485728599,0.14277869731653,0.486442900682273,26.1495439930834,-12.1294164127233,-16.1495439930834,-20.8999857155318,NA
"28","Rt_boiling","699-89 A","CAMP",-4.37899605126584,0.102891417184119,0.409062519025754,40.437780957577,-19.464507245485,-30.437780957577,-45.4977592243138,NA
"29","Rt_boiling","750-55 B","PSEP",-5.71439398277098,0.0812062738297524,0.302822635986075,28.208563921087,-12.1320924064779,-18.208563921087,-25.9533596677533,NA
"30","Rt_boiling","78-2000 B","TATA",-4.41253496076057,0.108460933094036,0.336946354880953,32.8268995031023,-13.9765535123492,-22.8268995031023,-34.9441297070386,NA
"31","Rt_boiling","Bussey1","NEGU",-3.35214826981568,0.0667595641030108,0.441145599221523,28.1691381280498,-8.6281331965104,-18.1691381280498,-32.5968793816544,NA
"32","Rt_boiling","Bussey2","NEGU",-2.18416323095498,0.0668862740230169,0.463573472458274,38.8054191153501,-10.5704828476808,-28.8054191153501,-63.2049200725378,NA
